priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-05-22
145277,10.75,98.25,Junta,myanmar_2024-05-22
145278,10.75,98.75,Junta,myanmar_2024-05-22
145998,11.25,98.75,Junta,myanmar_2024-05-22
145999,11.25,99.25,PDF,myanmar_2024-05-22
146717,11.75,98.25,Junta,myanmar_2024-05-22
146718,11.75,98.75,PDF,myanmar_2024-05-22
146719,11.75,99.25,PDF,myanmar_2024-05-22
146720,11.75,99.75,Junta,myanmar_2024-05-22
147437,12.25,98.25,Junta,myanmar_2024-05-22
147438,12.25,98.75,Junta,myanmar_2024-05-22
147439,12.25,99.25,PDF,myanmar_2024-05-22
148157,12.75,98.25,Junta,myanmar_2024-05-22
148158,12.75,98.75,Junta,myanmar_2024-05-22
148159,12.75,99.25,PDF,myanmar_2024-05-22
148878,13.25,98.75,Junta,myanmar_2024-05-22
148879,13.25,99.25,PDF,myanmar_2024-05-22
149597,13.75,98.25,Junta,myanmar_2024-05-22
149598,13.75,98.75,Karen,myanmar_2024-05-22
149599,13.75,99.25,Karen,myanmar_2024-05-22
150317,14.25,98.25,Junta,myanmar_2024-05-22
150318,14.25,98.75,Karen,myanmar_2024-05-22
151036,14.75,97.75,Junta,myanmar_2024-05-22
151037,14.75,98.25,Karen,myanmar_2024-05-22
151756,15.25,97.75,Junta,myanmar_2024-05-22
151757,15.25,98.25,Junta,myanmar_2024-05-22
152471,15.75,95.25,Junta,myanmar_2024-05-22
152472,15.75,95.75,Junta,myanmar_2024-05-22
152476,15.75,97.75,Junta,myanmar_2024-05-22
152477,15.75,98.25,Karen,myanmar_2024-05-22
153189,16.25,94.25,Junta,myanmar_2024-05-22
153190,16.25,94.75,Junta,myanmar_2024-05-22
153191,16.25,95.25,Junta,myanmar_2024-05-22
153192,16.25,95.75,Junta,myanmar_2024-05-22
153193,16.25,96.25,Junta,myanmar_2024-05-22
153196,16.25,97.75,Junta,myanmar_2024-05-22
153197,16.25,98.25,Karen,myanmar_2024-05-22
153198,16.25,98.75,Karen,myanmar_2024-05-22
153909,16.75,94.25,Junta,myanmar_2024-05-22
153910,16.75,94.75,Junta,myanmar_2024-05-22
153911,16.75,95.25,Junta,myanmar_2024-05-22
153912,16.75,95.75,Junta,myanmar_2024-05-22
153913,16.75,96.25,Junta,myanmar_2024-05-22
153914,16.75,96.75,Junta,myanmar_2024-05-22
153915,16.75,97.25,Junta,myanmar_2024-05-22
153916,16.75,97.75,Junta,myanmar_2024-05-22
153917,16.75,98.25,Karen,myanmar_2024-05-22
153918,16.75,98.75,Karen,myanmar_2024-05-22
154630,17.25,94.75,Junta,myanmar_2024-05-22
154631,17.25,95.25,Junta,myanmar_2024-05-22
154632,17.25,95.75,Junta,myanmar_2024-05-22
154633,17.25,96.25,Junta,myanmar_2024-05-22
154634,17.25,96.75,Junta,myanmar_2024-05-22
154635,17.25,97.25,Junta,myanmar_2024-05-22
154636,17.25,97.75,Junta,myanmar_2024-05-22
154637,17.25,98.25,Junta,myanmar_2024-05-22
155350,17.75,94.75,Junta,myanmar_2024-05-22
155351,17.75,95.25,Junta,myanmar_2024-05-22
155352,17.75,95.75,Junta,myanmar_2024-05-22
155353,17.75,96.25,Junta,myanmar_2024-05-22
155354,17.75,96.75,Junta,myanmar_2024-05-22
155355,17.75,97.25,Junta,myanmar_2024-05-22
155356,17.75,97.75,Junta,myanmar_2024-05-22
156069,18.25,94.25,Junta,myanmar_2024-05-22
156070,18.25,94.75,Junta,myanmar_2024-05-22
156071,18.25,95.25,Junta,myanmar_2024-05-22
156072,18.25,95.75,Junta,myanmar_2024-05-22
156073,18.25,96.25,PDF,myanmar_2024-05-22
156074,18.25,96.75,Junta,myanmar_2024-05-22
156075,18.25,97.25,Junta,myanmar_2024-05-22
156076,18.25,97.75,Junta,myanmar_2024-05-22
156788,18.75,93.75,Junta,myanmar_2024-05-22
156789,18.75,94.25,Junta,myanmar_2024-05-22
156790,18.75,94.75,Junta,myanmar_2024-05-22
156791,18.75,95.25,Junta,myanmar_2024-05-22
156792,18.75,95.75,PDF,myanmar_2024-05-22
156793,18.75,96.25,PDF,myanmar_2024-05-22
156794,18.75,96.75,Junta,myanmar_2024-05-22
156795,18.75,97.25,Karenni,myanmar_2024-05-22
156796,18.75,97.75,Karenni,myanmar_2024-05-22
157508,19.25,93.75,Junta,myanmar_2024-05-22
157509,19.25,94.25,Junta,myanmar_2024-05-22
157510,19.25,94.75,Junta,myanmar_2024-05-22
157511,19.25,95.25,Junta,myanmar_2024-05-22
157512,19.25,95.75,Junta,myanmar_2024-05-22
